,Spectrum file,Time/ch,Fit min,Fit max,Chi-sqr/x,Std dev,Lifet-1,Std dev  .1,Sigma-1,Std dev  .2,Itens-1,Std dev  .3,Lifet-2,Std dev  .4,Sigma-2,Std dev  .5,Itens-2,Std dev  .6,LT_mean,Std dev  .7,Bkg,Std dev  .8,T0,Std dev  .9,Area(fit),Area(table)
0,220_20_80.dat,0.005,1367,8283,1.073,0.017,0.1443,0.0065,0,0,17.7857,2.8799,0.219,0.0014,0,0,82.2143,2.8799,0.2057,0.0002,8.4847,0.0352,1400.0437,0.0284,5734470,5735000
0,220_50_50.dat,0.005,1367,8283,1.067,0.017,0.1479,0.0025,0,0,47.7038,3.1017,0.2184,0.0021,0,0,52.2962,3.1017,0.1848,0.0001,8.4849,0.0351,1400.0348,0.025,5734520,5735000
0,220_80_20.dat,0.005,1366,8283,1.067,0.017,0.1493,0.0013,0,0,79.2866,2.7018,0.2193,0.0045,0,0,20.7134,2.7018,0.1638,0.0001,8.4867,0.0351,1400.0343,0.022,5734430,5735000
0,230_20_80.dat,0.005,1367,8284,1.074,0.017,0.1456,0.0055,0,0,18.533,2.2627,0.2293,0.0012,0,0,81.467,2.2627,0.2137,0.0002,8.4836,0.0352,1400.0432,0.0286,5734450,5735000
0,230_50_50.dat,0.005,1367,8283,1.074,0.017,0.1482,0.0021,0,0,48.3588,2.2837,0.2287,0.0018,0,0,51.6412,2.2837,0.1898,0.0001,8.4846,0.0352,1400.0358,0.025,5734510,5735000
0,230_80_20.dat,0.005,1366,8283,1.079,0.017,0.1493,0.0011,0,0,79.4064,1.9485,0.2292,0.0038,0,0,20.5936,1.9485,0.1658,0.0001,8.4867,0.0351,1400.0352,0.0218,5734430,5735000
0,240_20_80.dat,0.005,1367,8284,1.061,0.017,0.1463,0.0047,0,0,18.9529,1.8012,0.2394,0.0011,0,0,81.0471,1.8012,0.2217,0.0002,8.4831,0.0352,1400.0431,0.0289,5734460,5735000
0,240_50_50.dat,0.005,1367,8283,1.064,0.017,0.1485,0.0018,0,0,48.826,1.7564,0.2389,0.0016,0,0,51.174,1.7564,0.1948,0.0001,8.4845,0.0352,1400.0341,0.025,5734540,5735000
0,240_80_20.dat,0.005,1366,8283,1.07,0.017,0.1493,0.0009,0,0,79.4788,1.4774,0.2392,0.0033,0,0,20.5212,1.4774,0.1678,0.0001,8.4867,0.0352,1400.0359,0.0217,5734410,5735000
0,250_20_80.dat,0.005,1367,8283,1.068,0.017,0.1472,0.0042,0,0,19.3608,1.4792,0.2496,0.001,0,0,80.6392,1.4792,0.2298,0.0002,8.4836,0.0353,1400.04,0.0292,5734530,5735000
0,250_50_50.dat,0.005,1367,8283,1.064,0.017,0.1487,0.0016,0,0,49.1557,1.3967,0.2491,0.0015,0,0,50.8443,1.3967,0.1998,0.0001,8.484,0.0352,1400.0321,0.025,5734570,5735000
0,250_80_20.dat,0.005,1366,8283,1.071,0.017,0.1494,0.0008,0,0,79.591,1.1532,0.2493,0.0029,0,0,20.409,1.1532,0.1698,0.0001,8.4866,0.0352,1400.0367,0.0215,5734430,5735000
0,260_20_80.dat,0.005,1367,8283,1.065,0.017,0.1478,0.0038,0,0,19.5807,1.2321,0.2597,0.0009,0,0,80.4193,1.2321,0.2378,0.0002,8.4825,0.0353,1400.0384,0.0295,5734520,5735000
0,260_50_50.dat,0.005,1367,8283,1.064,0.017,0.1489,0.0014,0,0,49.3861,1.1392,0.2592,0.0013,0,0,50.6139,1.1392,0.2048,0.0002,8.4829,0.0353,1400.0313,0.0251,5734580,5735000
0,260_80_20.dat,0.005,1366,8283,1.06,0.017,0.1494,0.0007,0,0,79.6759,0.9267,0.2595,0.0026,0,0,20.3241,0.9267,0.1718,0.0001,8.4864,0.0352,1400.0378,0.0214,5734460,5735000
0,270_20_80.dat,0.005,1367,8284,1.075,0.017,0.1484,0.0034,0,0,19.7839,1.0479,0.2698,0.0009,0,0,80.2161,1.0479,0.2458,0.0002,8.4813,0.0354,1400.0359,0.0297,5734510,5735000
0,270_50_50.dat,0.005,1367,8283,1.067,0.017,0.1491,0.0013,0,0,49.546,0.9507,0.2693,0.0012,0,0,50.454,0.9507,0.2098,0.0002,8.4826,0.0353,1400.0304,0.0251,5734570,5735000
0,270_80_20.dat,0.005,1366,8283,1.069,0.017,0.1494,0.0007,0,0,79.7924,0.7646,0.2697,0.0024,0,0,20.2076,0.7646,0.1738,0.0001,8.486,0.0353,1400.038,0.0213,5734460,5735000
0,280_20_80.dat,0.005,1367,8283,1.07,0.017,0.149,0.0032,0,0,19.9531,0.9044,0.2799,0.0008,0,0,80.0469,0.9044,0.2538,0.0002,8.481,0.0354,1400.0316,0.03,5734560,5735000
0,280_50_50.dat,0.005,1367,8283,1.07,0.017,0.1492,0.0012,0,0,49.6814,0.8086,0.2795,0.0012,0,0,50.3186,0.8086,0.2148,0.0002,8.4817,0.0354,1400.0288,0.0252,5734580,5735000
0,280_80_20.dat,0.005,1366,8283,1.071,0.017,0.1495,0.0006,0,0,79.8545,0.6434,0.2799,0.0022,0,0,20.1455,0.6434,0.1758,0.0001,8.4857,0.0353,1400.0384,0.0212,5734470,5735000
