Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
150,20,180,80,1.2,0.005,1367,8283,1.002,0.017,0.1457,0.0134,15.9406,12.1809,0.1794,0.0024,84.0594,12.1809,0.174,0.0001,25.554000000000002,0.0622,1400.0002,0.0151,17205200.0,17205000.0
150,50,180,50,1.2,0.005,1367,8283,1.002,0.017,0.1456,0.0059,38.329,13.7664,0.177,0.0035,61.67100000000001,13.7664,0.165,0.0001,25.5548,0.0621,1400.0048,0.0144,17205000.0,17205000.0
150,80,180,20,1.2,0.005,1367,8283,1.004,0.017,0.1462,0.0051,61.3793,23.6502,0.1715,0.0076,38.6207,23.6502,0.156,0.0001,25.5571,0.0621,1400.006,0.0138,17205000.0,17205000.0
150,20,190,80,1.2666666666666666,0.005,1367,8284,0.997,0.017,0.1482,0.0084,18.7531,7.2369,0.1898,0.0018,81.2469,7.2369,0.182,0.0001,25.5523,0.0622,1399.9992,0.0152,17205300.0,17205000.0
150,50,190,50,1.2666666666666666,0.005,1367,8283,0.995,0.017,0.1474,0.0034,44.643,7.0262,0.1882,0.0026,55.357,7.0262,0.17,0.0001,25.5554,0.0622,1400.0048,0.0142,17205100.0,17205000.0
150,80,190,20,1.2666666666666666,0.005,1367,8283,1.003,0.017,0.1479,0.0023,72.3766,8.7088,0.1843,0.0056,27.6234,8.7088,0.158,0.0001,25.5584,0.0621,1400.0059,0.0133,17205000.0,17205000.0
150,20,200,80,1.3333333333333333,0.005,1367,8284,1.007,0.017,0.1495,0.006,19.956,4.4998,0.2001,0.0014,80.044,4.4998,0.19,0.0001,25.5512,0.0623,1399.9967,0.0154,17205400.0,17205000.0
150,50,200,50,1.3333333333333333,0.005,1367,8283,1.007,0.017,0.1484,0.0023,47.4564,4.0752,0.1989,0.0019,52.5436,4.0752,0.175,0.0001,25.5557,0.0623,1400.0032,0.0142,17205100.0,17205000.0
150,80,200,20,1.3333333333333333,0.005,1367,8283,1.0,0.017,0.1487,0.0014,76.2495,4.2325,0.1962,0.0042,23.7505,4.2325,0.16,0.0001,25.5597,0.0622,1400.0054,0.013000000000000001,17205100.0,17205000.0
150,20,210,80,1.4,0.005,1367,8284,0.999,0.017,0.1502,0.0046,20.3608,2.9743,0.2102,0.0011,79.6392,2.9743,0.198,0.0001,25.5509,0.0624,1399.996,0.0156,17205300.0,17205000.0
150,50,210,50,1.4,0.005,1367,8283,0.997,0.017,0.149,0.0017,48.6626,2.6165,0.2094,0.0015,51.3374,2.6165,0.18,0.0001,25.5558,0.0623,1400.0032,0.0142,17205100.0,17205000.0
150,80,210,20,1.4,0.005,1367,8283,1.001,0.017,0.149,0.001,77.7706,2.4901,0.2072,0.0032,22.2294,2.4901,0.162,0.0001,25.5607,0.0623,1400.0055,0.0129,17205100.0,17205000.0
150,20,220,80,1.4666666666666666,0.005,1367,8284,1.001,0.017,0.1505,0.0038,20.4988,2.0886,0.2203,0.0009,79.5012,2.0886,0.20600000000000002,0.0001,25.5514,0.0625,1399.996,0.0158,17205200.0,17205000.0
150,50,220,50,1.4666666666666666,0.005,1367,8283,1.008,0.017,0.1492,0.0014,49.1203,1.8122,0.2196,0.0013,50.8797,1.8122,0.185,0.0001,25.5558,0.0624,1400.0045,0.0142,17205000.0,17205000.0
150,80,220,20,1.4666666666666666,0.005,1367,8283,1.003,0.017,0.1492,0.0008,78.5514,1.6365,0.2179,0.0026,21.4486,1.6365,0.1639,0.0001,25.5612,0.0623,1400.0059,0.0127,17205100.0,17205000.0
150,20,230,80,1.5333333333333334,0.005,1367,8284,1.002,0.017,0.1506,0.0032,20.4885,1.5392,0.2303,0.0008,79.5115,1.5392,0.214,0.0001,25.5523,0.0625,1399.9965,0.016,17205200.0,17205000.0
150,50,230,50,1.5333333333333334,0.005,1367,8283,1.005,0.017,0.1493,0.0012,49.4349,1.3314,0.2297,0.0011,50.5651,1.3314,0.19,0.0001,25.557,0.0625,1400.0044,0.0142,17205100.0,17205000.0
150,80,230,20,1.5333333333333334,0.005,1367,8283,1.006,0.017,0.1494,0.0006,79.0569,1.1575,0.2284,0.0022,20.9431,1.1575,0.1659,0.0001,25.5617,0.0624,1400.0058,0.0126,17205100.0,17205000.0
